equipment_id,equipment_name,equipment_manufacturer,equipment_buy_date,equipment_is_operational
1,Then,Crosby-Perez,2025-01-14,True
2,Real,Bernard LLC,2025-01-02,True
3,Group,Ross LLC,2024-06-11,False
4,Prevent,Austin-Garcia,2023-10-13,False
5,Care,"Green, Hess and Davis",2022-10-01,False
6,Anything,Bullock-Kaufman,2025-01-11,False
7,Popular,Pennington PLC,2022-12-21,True
8,Common,"White, Williams and Davenport",2022-11-16,False
9,Establish,Reid-Graham,2022-12-26,True
10,Next,Smith Ltd,2024-03-25,False
11,Movement,"Larson, Moore and Wright",2023-08-25,True
12,Question,"Watkins, Wright and Copeland",2024-04-30,True
13,Want,Mckee PLC,2022-08-25,False
14,Character,Maynard Ltd,2025-01-23,False
15,Play,"Shepard, Gallegos and Rodriguez",2022-10-26,True
16,Hear,Freeman LLC,2023-02-27,False
17,Decide,"Brown, Steele and Blackwell",2022-06-23,False
18,Across,Rice Inc,2024-08-26,True
19,Dinner,"Rodriguez, Hood and Fisher",2023-01-12,False
20,Night,Davis and Sons,2024-05-07,True
21,Discuss,Adams Inc,2023-11-20,True
22,Along,Martin-Howell,2022-08-12,True
23,Avoid,"Garcia, Roach and Michael",2022-02-15,False
24,Truth,Mcintosh-Williams,2024-02-10,False
25,True,Walker-Medina,2024-01-08,True
26,Simple,Hill-Allen,2024-08-12,True
27,Ever,Johnson-Myers,2024-06-03,False
28,Simply,Fox Ltd,2024-06-25,True
29,Bank,Anderson-Conner,2024-07-28,True
30,Manager,Carter Group,2024-08-13,True
31,At,"Booth, Elliott and Keller",2024-09-10,True
32,Character,Werner Group,2022-09-10,False
33,Drive,"Wolf, Allison and Wells",2022-09-24,False
34,Bed,Stuart Inc,2022-12-26,True
35,White,Garcia-Hernandez,2025-01-24,False
36,Few,Barnett PLC,2022-04-09,True
37,Produce,"Beltran, Stevens and Simmons",2025-01-28,True
38,Improve,"Rivers, Clark and Lee",2022-08-09,False
39,Dog,Curtis and Sons,2022-03-21,False
40,Authority,Freeman Ltd,2022-11-23,False
41,Market,Lee Ltd,2024-07-25,True
42,Public,Wright-Moss,2023-08-02,False
43,Dark,"Boyle, Arnold and Hall",2022-12-10,True
44,Western,"Berg, Friedman and Doyle",2022-07-06,True
45,High,Bailey-Maxwell,2023-07-21,True
46,Difficult,Howell Inc,2022-02-26,True
47,Center,"Patrick, Chapman and Mcdowell",2022-05-27,True
48,Common,"Smith, Haney and Johnson",2023-03-17,False
49,Tree,Morris-Lewis,2023-10-24,True
50,Friend,Spencer PLC,2023-08-21,True
